grammatical_error,punctuation_mark,uppercase_letter,passive_sentence,positive_sentiment,negative_sentiment,positive_emotion,negative_emotion,modal_verb,strong_modal,weak_modal,avg_word_length,avg_sentence_length,log_word_count,fog_index,emotiveness
6,6.5,0.034,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.0,6.463,20.5,3.714,8.239,0.667
18,8.143,0.066,0.0,0.094,0.0,0.0,0.0,0.083,0.083,0.0,5.801,27.286,5.252,10.981,0.412
0,5.0,0.053,1.0,0.095,0.0,0.0,0.0,0.5,0.5,0.0,4.524,21.0,3.045,8.419,0.6
19,8.5,0.052,0.125,0.071,0.0,0.0,0.0,0.1,0.05,0.05,5.773,24.75,5.288,9.967,0.304
1,2.0,0.064,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,5.784,10.2,3.932,4.182,0.364
14,4.714,0.062,0.0,0.111,0.009,0.0,0.0,0.0,0.143,0.0,5.509,15.429,4.682,6.238,0.34
0,1.5,0.054,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.0,2.996,2.08,0.5
3,2.385,0.967,0.0,0.099,0.0,0.0,0.0,0.077,0.077,0.038,5.241,10.846,4.949,4.401,0.234
0,1.0,0.043,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,4.929,4.667,2.639,1.895,0.143
13,10.5,0.089,0.0,0.106,0.0,0.0,0.0,0.167,0.167,0.0,5.97,16.5,4.19,6.648,0.242
9,3.35,0.038,0.15,0.101,0.009,0.0,0.0,0.065,0.043,0.043,5.216,11.35,5.425,4.595,0.318
1,2.0,0.027,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,5.895,9.5,2.944,3.905,0.333
0,9.333,0.11,0.0,0.103,0.017,0.0,0.0,0.167,0.0,0.167,5.328,19.333,4.06,7.795,0.318
33,5.556,0.09,0.333,0.039,0.0,0.0,0.0,0.0,0.0,0.05,6.845,20.111,5.198,8.117,0.292
5,9.0,0.035,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,5.667,30.0,4.094,12.067,0.591
10,37.0,0.128,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,6.179,67.0,4.205,26.872,0.265
5,3.167,0.326,0.0,0.047,0.012,0.0,0.0,0.25,0.5,0.0,5.035,7.083,4.443,2.866,0.438
10,2.722,0.021,0.5,0.065,0.007,0.0,0.0,0.074,0.111,0.037,5.493,15.333,5.62,6.191,0.404
11,6.333,0.09,0.333,0.011,0.0,0.0,0.0,0.0,0.0,0.0,4.932,29.333,4.477,11.77,0.432
5,2.0,0.096,1.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,5.5,36.0,3.584,14.456,0.167
3,2.8,0.047,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,4.79,12.4,4.127,5.005,0.364
8,2.857,0.148,0.286,0.035,0.007,0.0,0.0,0.04,0.0,0.04,5.063,10.286,4.97,4.173,0.271
2,2.0,0.049,0.25,0.122,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.25,3.714,4.159,0.318
4,3.6,0.033,0.4,0.071,0.0,0.0,0.0,0.063,0.0,0.063,5.204,19.6,4.585,7.897,0.488
6,3.4,0.162,0.4,0.045,0.018,0.0,0.0,0.0,0.0,0.0,5.189,22.2,4.71,8.938,0.404
5,2.833,0.057,0.0,0.085,0.0,0.0,0.0,0.167,0.0,0.167,5.317,13.667,4.407,5.511,0.225
10,2.8,0.031,0.1,0.083,0.0,0.0,0.0,0.077,0.0,0.077,5.489,13.3,4.89,5.371,0.242
1,11.0,0.029,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,5.862,29.0,3.367,11.655,0.467
4,2.0,0.029,0.2,0.111,0.011,0.0,0.0,0.0,0.0,0.0,5.322,9.0,4.5,3.649,0.5
5,4.167,0.049,0.333,0.076,0.0,0.0,0.0,0.0,0.0,0.0,5.608,13.167,4.369,5.328,0.256
25,5.923,0.04,0.308,0.071,0.013,0.0,0.0,0.0,0.036,0.0,5.666,23.923,5.74,9.63,0.313
1,1.6,0.296,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,5.567,12.0,4.094,4.873,0.583
0,3,0.2,0.0,0.167,0.0,0.0,0.0,0,0,0,5.0,6.0,2.89,2.444,0.5
5,8.0,0.321,0.333,0.03,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,3.497,4.436,0.5
2,2.0,0.027,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,5.5,20.0,2.996,8.02,0.091
2,1.375,0.05,0.0,0.018,0.0,0.0,0.0,0.3,0.1,0.2,4.286,7.0,4.025,2.85,0.125
28,5.667,0.051,0.222,0.072,0.0,0.0,0.0,0.0,0.059,0.059,5.982,18.444,5.112,7.421,0.298
4,3.6,0.042,0.4,0.094,0.0,0.0,0.0,0.0,0.0,0.0,5.717,10.6,3.97,4.308,0.333
5,2.0,0.119,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,5.9,30.0,3.401,12.027,0.357
5,3.125,0.178,0.125,0.047,0.0,0.0,0.0,0.0,0.125,0.0,5.471,10.625,4.443,4.306,0.263
13,5.125,0.073,0.125,0.024,0.0,0.0,0.0,0.0,0.143,0.0,4.797,15.375,4.812,6.183,0.479
2,1.75,0.161,0.25,0.081,0.0,0.0,0.0,0.0,0.0,0.0,5.532,15.5,4.127,6.239,0.37
4,3.25,0.958,0.0,0.08,0.009,0.0,0.0,0.125,0.125,0.0,5.875,14.0,4.718,5.65,0.426
4,7.333,0.049,0.0,0.081,0.014,0.0,0.0,0.0,0.0,0.0,5.554,24.667,4.304,9.921,0.577
5,2.5,0.027,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,5.405,18.5,4.304,7.465,0.452
1,2.571,0.077,0.571,0.025,0.0,0.0,0.0,0.071,0.071,0.0,5.139,11.286,4.369,4.59,0.375
13,7.714,0.045,0.143,0.052,0.01,0.0,0.0,0.0,0.0,0.0,6.247,13.857,4.575,5.613,0.224
1,3.0,0.011,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,5.968,10.333,3.434,4.198,0.111
4,5.833,0.51,0.0,0.075,0.009,0.0,0.0,0.1,0.1,0.0,5.047,17.667,4.663,7.108,0.395
1,2.5,0.044,0.0,0.058,0.019,0.0,0.0,0.0,0.0,0.0,5.231,8.667,3.951,3.536,0.333
9,7.0,0.067,0.0,0.06,0.007,0.0,0.0,0.143,0.0,0.143,5.742,30.2,5.017,12.144,0.294
0,2.0,0.024,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.6,7.5,3.401,3.08,0.417
5,6.2,0.029,0.6,0.039,0.0,0.0,0.0,0.0,0.0,0.0,5.882,15.2,4.331,6.143,0.186
1,1.333,0.068,0.167,0.028,0.0,0.0,0.0,0.5,0.5,0.0,4.5,6.0,3.584,2.444,0.143
2,3.0,0.09,0.333,0.106,0.0,0.0,0.0,0.0,0.0,0.0,5.191,15.667,3.85,6.326,0.4
1,2.333,0.033,0.0,0.071,0.0,0.0,0.0,0.333,0.333,0.0,5.048,14.0,3.738,5.657,0.429
6,4.143,0.014,0.286,0.146,0.0,0.0,0.0,0.071,0.0,0.071,6.019,22.571,5.063,9.104,0.378
4,20.0,0.14,0.0,0.107,0.0,0.0,0.0,0.25,0.25,0.0,5.75,56.0,4.025,22.464,0.2
1,9.167,0.841,0.167,0.164,0.0,0.0,0.0,0.0,0.0,0.0,5.701,11.167,4.205,4.532,0.345
12,4.0,0.049,0.0,0.144,0.006,0.0,0.0,0.0,0.111,0.0,5.904,23.857,5.118,9.636,0.284
1,2.5,0.061,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,5.365,13.0,3.951,5.285,0.2
25,3.391,0.952,0.0,0.025,0.0,0.0,0.0,0.0,0.2,0.0,6.369,6.957,5.075,2.848,0.198
7,67.0,0.26,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,5.742,93.0,4.533,37.256,0.341
2,1.5,0.099,0.0,0.086,0.0,0.0,0.0,0.25,0.25,0.0,4.914,17.5,3.555,7.034,0.5
3,1.6,0.031,0.2,0.093,0.0,0.0,0.0,0.0,0.0,0.2,5.315,10.8,3.989,4.409,0.409
11,13.5,0.07,0.0,0.041,0.0,0.0,0.0,0.0,0.125,0.0,6.429,24.5,3.892,9.857,0.364
13,7.667,0.06,0.167,0.079,0.007,0.0,0.0,0.0,0.2,0.0,5.55,25.167,5.017,10.12,0.235
15,4.444,0.328,0.333,0.076,0.0,0.0,0.0,0.053,0.053,0.053,5.167,16.0,4.97,6.453,0.379
4,3.0,0.07,1.0,0.013,0.013,0.0,0.0,0.0,0.0,0.2,4.792,38.5,4.344,15.426,0.222
5,13.667,0.383,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,5.045,36.667,4.7,14.718,0.306
2,2.429,0.383,0.143,0.076,0.0,0.0,0.0,0.0,0.0,0.0,5.337,13.143,4.522,5.296,0.208
2,2.0,0.024,0.2,0.041,0.0,0.0,0.0,0.0,0.0,0.0,5.108,14.8,4.304,5.947,0.216
3,9.667,0.037,0.0,0.043,0.0,0.0,0.0,0.0,0.5,0.0,5.87,23.0,4.234,9.275,0.533
5,3.6,0.02,0.4,0.089,0.0,0.0,0.0,0.0,0.0,0.0,6.25,11.2,4.025,4.551,0.321
9,6.0,0.228,0.2,0.06,0.0,0.0,0.0,0.125,0.0,0.125,5.402,23.4,4.762,9.422,0.377
5,9.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,25.0,3.219,10.032,0.071
4,3.6,0.04,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,5.956,13.6,4.22,5.505,0.393
5,5.429,0.462,0.286,0.048,0.0,0.0,0.0,0.2,0.2,0.0,5.096,17.857,4.828,7.194,0.262
7,6.333,0.147,0.333,0.06,0.0,0.0,0.0,0.2,0.0,0.2,5.552,22.333,4.205,8.987,0.269
1,5.667,0.146,0.0,0.171,0.029,0.0,0.0,0.0,0.0,0.0,5.657,11.667,3.555,4.701,0.267
3,3.5,0.03,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,6.051,19.5,3.664,7.882,0.222
8,4.4,0.216,0.2,0.071,0.007,0.0,0.0,0.286,0.286,0.0,5.163,28.2,4.949,11.337,0.25
3,11.0,0.168,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,5.074,27.0,3.989,10.815,0.407
7,4.4,0.042,0.2,0.121,0.0,0.0,0.0,0.0,0.0,0.0,5.355,21.4,4.673,8.627,0.37
14,12.0,0.868,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,6.22,50.0,3.912,20.048,0.321
3,3.0,0.038,1.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,6.947,19.0,2.944,7.642,0.083
8,5.0,0.946,0.0,0.132,0.013,0.0,0.0,0.0,0.091,0.0,6.158,12.667,4.331,5.156,0.256
4,1.75,0.215,0.0,0.045,0.023,0.0,0.0,0.0,0.0,0.0,5.068,11.0,3.784,4.427,0.533
1,1.5,0.026,0.5,0.063,0.0,0.0,0.0,0.0,0.0,0.0,5.521,8.0,3.871,3.283,0.207
7,7.667,0.094,0.333,0.059,0.0,0.0,0.0,0.167,0.167,0.167,6.088,22.667,4.22,9.114,0.276
2,3.25,0.02,0.0,0.096,0.014,0.0,0.0,0.0,0.0,0.0,5.493,18.25,4.29,7.344,0.367
8,9.6,0.162,0.2,0.082,0.0,0.0,0.0,0.211,0.053,0.158,4.851,26.8,4.898,10.78,0.232
11,4.1,0.04,0.3,0.065,0.01,0.0,0.0,0.143,0.143,0.0,5.325,20.0,5.298,8.036,0.235
2,3.286,0.705,0.143,0.113,0.016,0.0,0.0,0.333,0.0,0.333,5.403,8.857,4.127,3.607,0.478
3,4.8,0.078,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,5.443,12.2,4.111,4.932,0.32
5,71.0,0.27,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,5.758,91.0,4.511,36.462,0.375
4,5.333,0.072,0.0,0.04,0.0,0.0,0.0,0.3,0.2,0.1,5.01,16.5,4.595,6.661,0.359
3,4.333,0.064,0.333,0.068,0.0,0.0,0.0,0.0,0.0,0.0,4.438,12.167,4.29,4.894,0.219
8,3.0,0.046,0.167,0.044,0.0,0.0,0.0,0.0,0.091,0.0,5.589,15.0,4.5,6.062,0.293
1,11,1.0,0.0,0.25,0.0,0.0,0.0,1,1,0,5.375,3.2,2.773,1.355,2.0
2,4.25,0.077,0.0,0.058,0.0,0.0,0.0,0.2,0.0,0.2,5.261,17.25,4.234,6.975,0.214
1,1.222,0.042,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,5.167,6.667,4.094,2.727,0.538
7,2.938,0.033,0.188,0.059,0.005,0.0,0.0,0.081,0.027,0.054,5.38,12.813,5.323,5.192,0.225
12,4.7,0.074,0.1,0.071,0.0,0.0,0.0,0.0,0.0,0.0,5.462,21.0,5.347,8.461,0.244
6,4.0,0.072,0.571,0.037,0.007,0.0,0.0,0.074,0.0,0.074,5.382,19.429,4.913,7.857,0.277
14,5.889,0.103,0.556,0.114,0.0,0.0,0.0,0.095,0.0,0.095,5.364,20.444,5.215,8.225,0.395
7,11.0,0.067,0.333,0.058,0.006,0.0,0.0,0.0,0.0,0.0,4.839,51.667,5.043,20.698,0.444
13,7.125,0.129,0.125,0.093,0.0,0.0,0.0,0.063,0.0,0.063,5.98,18.875,5.017,7.608,0.325
5,7.2,0.137,0.0,0.075,0.009,0.0,0.0,0.0,0.0,0.0,5.689,21.2,4.663,8.544,0.392
4,3.5,0.018,0.167,0.111,0.0,0.0,0.0,0.0,0.083,0.0,5.759,18.0,4.682,7.267,0.314
2,36,0.171,0.0,0.088,0.0,0.0,0.0,0,2,0,5.676,6.8,3.526,2.744,0.231
6,3.6,0.082,0.6,0.0,0.0,0.0,0.0,0.25,0.125,0.125,5.545,15.4,4.344,6.196,0.297
9,1.692,0.196,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,6.205,4.308,4.718,1.816,0.37
14,4.429,0.225,0.429,0.053,0.009,0.0,0.0,0.0,0.0,0.0,6.737,16.286,4.736,6.609,0.371
3,4.8,0.035,0.2,0.056,0.0,0.0,0.0,0.0,0.111,0.0,5.494,17.8,4.489,7.165,0.308
1,6.667,0.199,0.0,0.113,0.019,0.0,0.0,0.2,0.0,0.2,5.604,17.667,3.97,7.135,0.174
6,4.6,0.35,0.0,0.048,0.012,0.0,0.0,0.333,0.2,0.133,5.054,16.6,5.112,6.688,0.4
6,4.0,0.058,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,5.651,31.5,4.143,12.663,0.276
3,3.0,0.124,0.0,0.167,0.0,0.0,0.0,1.0,1.0,0.0,5.611,7.2,3.584,2.924,0.769
9,2.643,0.115,0.0,0.102,0.012,0.0,0.0,0.063,0.063,0.0,5.271,11.857,5.112,4.789,0.807
3,5.0,0.112,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,5.121,11.0,3.497,4.461,0.143
11,11.0,0.219,0.0,0.087,0.013,0.0,0.0,0.0,0.0,0.0,5.925,20.0,4.382,8.05,0.76
7,10.0,0.203,0.25,0.068,0.006,0.0,0.0,0.1,0.05,0.05,5.222,40.5,5.088,16.24,0.444
21,10.8,0.04,0.6,0.026,0.005,0.0,0.0,0.2,0.067,0.133,5.751,38.6,5.263,15.515,0.244
2,2.0,0.082,0.5,0.083,0.042,0.0,0.0,0.5,0.5,0.0,5.583,12.0,3.178,4.833,0.4
3,4.25,0.041,0.25,0.09,0.0,0.0,0.0,0.0,0.0,0.0,6.209,16.75,4.205,6.76,0.303
5,14.0,0.037,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,5.765,51.0,3.932,20.463,0.348
1,10.0,0.145,1.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,5.846,26.0,3.258,10.462,0.214
2,3.5,0.263,0.0,0.079,0.009,0.0,0.0,0.333,0.5,0.0,5.105,9.5,4.736,3.856,0.5
8,60.0,0.272,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,5.854,82.0,4.407,32.859,0.364
8,2.7,0.033,0.1,0.035,0.0,0.0,0.0,0.0,0.0,0.0,5.272,11.4,4.736,4.606,0.313
1,10.667,0.301,0.0,0.093,0.013,0.0,0.0,0.125,0.0,0.125,5.32,25.0,4.317,10.075,0.29
10,9.167,0.949,0.0,0.066,0.0,0.0,0.0,0.143,0.143,0.0,5.769,15.167,4.511,6.12,0.4
4,2.667,0.089,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,5.279,11.333,4.22,4.586,0.265
2,1.8,0.033,0.2,0.064,0.007,0.0,0.0,0.0,0.0,0.0,5.461,14.1,4.949,5.722,0.338
20,5.556,0.065,0.111,0.086,0.005,0.0,0.0,0.036,0.0,0.036,5.557,24.556,5.398,9.88,0.416
8,73.0,0.256,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.899,99.0,4.595,39.657,0.357
0,2.8,0.103,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,5.327,9.8,3.892,4.002,0.286
3,1.0,0.016,1.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0,5.278,36.0,3.584,14.444,0.375
2,1.188,0.025,0.0,0.008,0.008,0.0,0.0,0.067,0.0,0.133,4.93,8.063,4.86,3.272,0.197
2,4.0,0.032,0.667,0.026,0.0,0.0,0.0,0.0,0.0,0.0,6.385,13.0,3.664,5.292,0.389
4,5.25,0.033,0.5,0.056,0.009,0.0,0.0,0.0,0.0,0.0,5.602,13.5,4.682,5.47,0.327
5,5.5,0.042,0.5,0.073,0.0,0.0,0.0,0.0,0.0,0.0,6.073,27.5,4.007,11.073,0.292
8,7.0,0.195,0.5,0.074,0.0,0.0,0.0,0.091,0.0,0.091,5.632,34.0,4.22,13.635,0.324
1,0,0.208,0.0,0.2,0.0,0.0,0.0,0,0,0,4.8,5.0,1.609,2.08,1.0
5,6.0,0.024,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,6.727,22.0,3.784,8.873,0.474
3,2.571,0.016,0.071,0.07,0.0,0.0,0.0,0.174,0.174,0.043,5.32,9.143,4.852,3.692,0.29
4,2.0,0.117,0.0,0.071,0.0,0.0,0.0,0.125,0.125,0.0,6.714,9.333,3.332,3.805,0.211
0,1.6,0.034,0.2,0.108,0.0,0.0,0.0,0.0,0.0,0.0,5.486,7.4,3.611,3.003,0.333
9,2.667,0.044,0.111,0.047,0.0,0.0,0.0,0.0,0.0,0.0,5.093,11.889,4.673,4.793,0.286
4,2.4,0.08,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,5.329,8.2,4.407,3.334,0.263
10,14.0,0.051,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,6.152,39.5,4.369,15.846,0.27
2,4.5,0.029,0.5,0.17,0.0,0.0,0.0,0.0,0.5,0.0,5.887,26.5,3.97,10.675,0.318
8,8.0,0.085,0.25,0.027,0.014,0.0,0.0,0.0,0.0,0.0,5.712,18.25,4.29,7.338,0.263
4,2.333,0.063,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,5.296,9.0,3.296,3.659,0.167
0,5.0,0.054,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,5.771,16.0,3.871,6.483,0.069
5,12.5,0.92,0.0,0.038,0.0,0.0,0.0,0.111,0.111,0.0,5.906,26.5,3.97,10.645,0.179
1,1.0,0.053,0.25,0.103,0.0,0.0,0.0,0.0,0.0,0.0,5.172,7.25,3.367,2.955,0.2
4,1.857,0.013,0.286,0.06,0.012,0.0,0.0,0.059,0.059,0.0,5.667,12.0,4.431,4.876,0.238
7,6.0,0.045,0.5,0.045,0.006,0.0,0.0,0.0,0.0,0.0,5.274,19.625,5.056,7.921,0.247
1,2.222,0.091,0.0,0.034,0.0,0.0,0.0,0.0,0.25,0.0,5.069,6.444,4.06,2.653,0.435
7,3.875,0.024,0.25,0.054,0.0,0.0,0.0,0.0,0.0,0.0,5.268,18.625,5.004,7.49,0.338
5,14.0,0.063,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,5.661,56.0,4.025,22.436,0.258
9,6.0,0.172,0.0,0.085,0.0,0.0,0.0,0.182,0.182,0.0,5.28,23.6,4.771,9.46,0.288
19,7.833,0.408,0.0,0.038,0.01,0.0,0.0,0.059,0.059,0.0,5.657,17.5,4.654,7.042,0.245
4,5.778,0.42,0.0,0.082,0.006,0.0,0.0,0.167,0.167,0.0,4.81,17.556,5.063,7.065,0.596
7,4.111,0.332,0.0,0.072,0.007,0.0,0.0,0.182,0.091,0.091,5.281,15.444,4.934,6.232,0.295
11,4.0,0.125,0.364,0.093,0.008,0.0,0.0,0.043,0.0,0.043,5.682,11.727,4.86,4.762,0.239
7,4.75,0.761,0.125,0.06,0.009,0.0,0.0,0.1,0.2,0.0,5.256,14.625,4.762,5.898,0.4
4,2.571,0.106,0.143,0.052,0.0,0.0,0.0,0.111,0.0,0.111,5.247,11.0,4.344,4.436,0.361
4,14.0,0.471,0.5,0.03,0.0,0.0,0.0,0.286,0.286,0.0,5.06,33.5,4.205,13.424,0.242
0,2.0,0.408,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,6.125,8.0,2.079,3.4,0.667
4,7.25,0.074,0.0,0.076,0.015,0.0,0.0,0.0,0.0,0.0,5.697,16.5,4.19,6.648,0.281
3,4.5,0.095,0.5,0.043,0.0,0.0,0.0,0.0,0.0,0.0,5.957,11.5,3.135,4.635,0.231
1,4.75,0.233,0.25,0.068,0.0,0.0,0.0,0.0,0.0,0.0,5.364,11.0,3.784,4.445,0.556
5,8.75,0.035,0.0,0.048,0.01,0.0,0.0,0.0,0.0,0.0,5.638,26.25,4.654,10.553,0.226
27,46.5,0.076,0.0,0.009,0.009,0.0,0.0,0.0,0.0,0.0,6.009,53.5,4.673,21.422,0.24
3,2.5,0.058,0.5,0.143,0.0,0.0,0.0,0.0,0.0,0.0,5.714,10.5,3.045,4.219,0.364
2,2.75,0.026,0.5,0.08,0.0,0.0,0.0,0.25,0.25,0.0,5.4,12.5,3.912,5.056,0.318
0,2.5,0.014,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,3.178,4.883,0.214
4,3.0,0.058,0.111,0.053,0.038,0.0,0.0,0.067,0.067,0.067,5.092,14.556,4.875,5.865,0.423
10,6.125,0.1,0.125,0.044,0.006,0.0,0.0,0.0,0.0,0.0,4.722,19.75,5.063,7.935,0.222
2,1.0,0.107,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,5.083,24.0,3.178,9.65,0.167
0,2.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,2.398,4.436,0.2
8,6.5,0.227,0.25,0.048,0.0,0.0,0.0,0.143,0.0,0.143,5.355,15.5,4.127,6.239,0.162
2,3.0,0.169,0.167,0.045,0.011,0.0,0.0,0.714,0.429,0.429,4.648,14.667,4.477,5.917,0.5
4,2.0,0.029,0.2,0.111,0.011,0.0,0.0,0.0,0.0,0.0,5.322,9.0,4.5,3.649,0.5
6,6.667,0.105,0.333,0.041,0.014,0.0,0.0,0.182,0.273,0.0,4.628,16.111,4.977,6.494,0.298
6,3.714,0.034,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,5.791,12.286,4.454,4.984,0.35
2,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.485,4.833,0.333
6,4.429,0.036,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,5.364,18.429,4.86,7.427,0.274
9,4.059,0.081,0.176,0.07,0.007,0.0,0.0,0.214,0.071,0.143,4.873,16.706,5.649,6.723,0.463
19,8.0,0.161,0.0,0.046,0.0,0.0,0.0,0.063,0.063,0.0,5.457,21.571,5.017,8.676,0.265
2,4.0,0.024,0.333,0.067,0.0,0.0,0.0,0.0,0.0,0.0,5.5,20.0,4.094,8.033,0.375
3,4.0,0.496,1.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,7.118,17.0,2.833,6.871,0.222
4,3.4,0.034,0.2,0.078,0.0,0.0,0.0,0.2,0.0,0.2,5.469,12.8,4.159,5.176,0.261
9,3.0,0.033,0.1,0.056,0.008,0.0,0.0,0.0,0.0,0.0,5.32,12.5,4.828,5.048,0.429
8,6.571,0.195,0.286,0.086,0.006,0.0,0.0,0.1,0.1,0.0,5.356,23.286,5.094,9.381,0.381
4,2.571,0.043,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,5.175,9.0,4.143,3.638,0.269
7,3.455,0.046,0.182,0.096,0.005,0.0,0.0,0.0,0.0,0.0,5.579,17.909,5.283,7.251,0.294
6,4.167,0.029,0.167,0.072,0.0,0.0,0.0,0.0,0.0,0.0,5.937,18.5,4.71,7.49,0.346
12,5,0.146,0.0,0.048,0.0,0.0,0.0,0,0,0,11.095,21.0,3.045,8.438,0.8
5,3.111,0.013,0.0,0.054,0.008,0.0,0.0,0.0,0.0,0.0,5.186,14.333,4.86,5.77,0.254
9,6.0,0.05,0.2,0.024,0.024,0.0,0.0,0.105,0.0,0.105,5.452,24.8,4.82,9.965,0.36
4,13.5,0.045,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,6.387,31.0,4.127,12.465,0.696
6,5.4,0.493,0.2,0.04,0.0,0.0,0.0,0.25,0.25,0.125,4.76,20.0,4.605,8.04,0.256
4,4.0,0.052,0.143,0.094,0.009,0.0,0.0,0.0,0.0,0.0,5.376,16.714,4.762,6.751,0.294
13,10.667,0.047,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,6.139,33.667,4.615,13.53,0.314
2,3.833,0.034,0.167,0.052,0.0,0.0,0.0,0.0,0.077,0.0,4.878,19.167,4.745,7.729,0.137
3,6.5,0.056,0.25,0.047,0.0,0.0,0.0,0.0,0.167,0.0,5.297,16.0,4.159,6.469,0.346
6,3.474,0.185,0.211,0.041,0.005,0.0,0.0,0.097,0.065,0.065,4.977,11.579,5.394,4.675,0.234
2,1.4,0.046,0.2,0.038,0.0,0.0,0.0,0.0,0.0,0.0,5.885,5.2,3.258,2.234,0.538
4,5.25,0.044,0.25,0.041,0.0,0.0,0.0,0.0,0.0,0.0,5.014,18.25,4.29,7.349,0.237
10,2.222,0.041,0.111,0.072,0.0,0.0,0.0,0.0,0.0,0.0,5.831,9.222,4.419,3.747,0.359
9,3.125,0.25,0.375,0.034,0.0,0.0,0.0,0.0,0.0,0.0,6.034,10.875,4.466,4.405,0.12
5,5.667,0.07,0.0,0.069,0.0,0.0,0.0,0.2,0.0,0.2,5.722,24.0,4.277,9.672,0.29
0,1,0.028,0.0,0.143,0.0,0.0,0.0,0,0,0,5.143,7.0,1.946,2.8,3.0
13,7.75,0.167,0.0,0.061,0.0,0.0,0.0,0.0,0.1,0.0,5.384,24.75,4.595,9.957,0.4
2,9.0,0.055,1.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,6.061,33.0,3.497,13.297,0.333
0,1.0,0.228,0.5,0.067,0.0,0.0,0.0,0.0,0.0,0.0,5.267,7.5,2.708,3.053,0.25
15,18.0,0.521,0.0,0.02,0.007,0.0,0.0,0.143,0.071,0.143,5.367,49.0,4.99,19.657,0.328
2,3.667,0.04,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,5.771,16.0,3.871,6.467,0.308
2,3.818,0.033,0.455,0.04,0.02,0.0,0.0,0.0,0.0,0.0,4.716,18.273,5.303,7.357,0.366
3,5.0,0.046,0.333,0.047,0.0,0.0,0.0,0.0,0.0,0.0,5.078,21.333,4.159,8.589,0.267
